Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
03/04/2015,71.06,71.07,71.06,71.06,-1.22,-1.69%,1119360,1695480
03/03/2015,72.28,72.28,72.28,72.28,0.53,+0.74%,773195,1687908
03/02/2015,71.75,71.75,71.75,71.75,-0.41,-0.57%,955240,1693873
02/27/2015,72.16,72.16,72.16,72.16,-0.04,-0.06%,820165,1710379
02/26/2015,72.2,72.2,72.2,72.2,-0.31,-0.43%,988259,1706545
02/25/2015,72.51,72.51,72.51,72.51,0.62,+0.86%,956401,1713770
02/24/2015,71.89,71.89,71.89,71.89,0.52,+0.73%,546031,1695437
02/23/2015,71.37,71.37,71.37,71.37,-0.17,-0.24%,1023227,1686703
02/20/2015,71.54,71.54,71.54,71.54,1.29,+1.84%,689442,1674774
02/19/2015,70.25,70.25,70.25,70.25,-0.51,-0.72%,1136634,1672826
02/18/2015,70.76,70.76,70.76,70.76,-0.22,-0.31%,865922,1680510
02/17/2015,70.98,70.98,70.98,70.98,-0.36,-0.50%,1324961,1689966
02/13/2015,71.34,71.34,71.34,71.34,-0.94,-1.30%,1040777,1728856
02/12/2015,72.28,72.28,72.28,72.28,1.12,+1.57%,1342467,1739863
02/11/2015,71.16,71.16,71.16,71.16,0.27,+0.38%,1143232,1744285
02/10/2015,70.89,70.89,70.89,70.89,-0.63,-0.88%,1091280,1717593
02/09/2015,71.52,71.52,71.52,71.52,0.42,+0.59%,1282325,1717695
02/06/2015,71.1,71.1,71.1,71.1,-0.54,-0.75%,1214382,1741380
02/05/2015,71.64,71.64,71.64,71.64,0.92,+1.30%,1229272,1763092
02/04/2015,70.72,70.74,70.72,70.72,-1.63,-2.25%,1147288,1745515
02/03/2015,72.35,72.35,72.33,72.35,1.34,+1.89%,1348890,1721471
02/02/2015,71.01,71.01,71.01,71.01,0.54,+0.77%,1041507,1708200
01/30/2015,70.47,70.47,70.47,70.47,2.25,+3.30%,845693,1712478
01/29/2015,68.22,68.22,68.22,68.22,1.06,+1.58%,611806,1700823
01/28/2015,67.16,67.16,67.16,67.16,-0.64,-0.94%,765919,1682953
01/27/2015,67.8,67.8,67.8,67.8,1.05,+1.57%,549719,1668047
