Time,Open,High,Low,Last,Change,%Chg,Volume
06/25/2010,17.4558,17.9173,17.3331,17.8011,0.3583,+2.05%,202307
06/24/2010,17.572,17.6333,17.3621,17.4428,-0.184,-1.04%,481447
06/23/2010,17.5203,17.7559,17.4234,17.6268,0.0581,+0.33%,706370
06/22/2010,18.0077,18.0368,17.5493,17.5687,-0.3292,-1.84%,220585
06/21/2010,18.2271,18.2852,17.8107,17.8979,-0.1549,-0.86%,361860
06/18/2010,17.8076,18.1077,17.8076,18.0528,0.2678,+1.51%,1767482
06/17/2010,17.9528,17.9528,17.6107,17.785,-0.0613,-0.34%,650295
06/16/2010,18.0368,18.0368,17.814,17.8463,-0.1549,-0.86%,343581
06/15/2010,17.6397,18.0496,17.6171,18.0012,0.3647,+2.07%,403376
06/14/2010,17.5396,17.9076,17.4461,17.6365,0.071,+0.40%,632325
06/11/2010,17.1297,17.5687,17.0975,17.5655,0.3099,+1.80%,482067
06/10/2010,16.9683,17.2588,16.8231,17.2556,0.581,+3.48%,755942
06/09/2010,16.8521,17.0394,16.623,16.6746,-0.1033,-0.62%,890710
06/08/2010,17.007,17.191,16.5422,16.7779,-0.2453,-1.44%,1185034
06/07/2010,17.5945,17.6849,17.007,17.0232,-0.3551,-2.04%,1132674
06/04/2010,17.8269,17.9141,17.3072,17.3783,-0.7714,-4.25%,1139489
06/03/2010,18.0884,18.1594,17.885,18.1497,0.1775,+0.99%,908987
06/02/2010,17.2911,17.9754,17.2911,17.9722,0.7295,+4.23%,749744
06/01/2010,17.4234,17.6882,17.2104,17.2427,-0.2291,-1.31%,891950
05/28/2010,17.4945,17.7269,17.3783,17.4718,-0.0485,-0.28%,728680
05/27/2010,17.4073,17.5396,17.2943,17.5203,0.4358,+2.55%,628917
05/26/2010,17.1975,17.5429,17.0491,17.0845,-0.0484,-0.28%,812328
05/25/2010,16.8424,17.1523,16.4745,17.1329,-0.0324,-0.19%,1826345
05/24/2010,17.1878,17.4558,17.1104,17.1653,-0.0709,-0.41%,834942
05/21/2010,16.907,17.5945,16.8941,17.2362,0.0581,+0.34%,941520
05/20/2010,17.5042,17.6107,17.1717,17.1781,-0.7392,-4.13%,1157151
05/19/2010,17.9754,18.169,17.6882,17.9173,-0.113,-0.63%,1010914
05/18/2010,18.2982,18.4047,17.969,18.0303,-0.1517,-0.83%,1601727
05/17/2010,18.2111,18.2949,17.7688,18.182,0.0614,+0.34%,1139490
05/14/2010,18.324,18.3982,17.8947,18.1206,-0.3906,-2.11%,1022690
05/13/2010,18.6178,18.734,18.4498,18.5112,-0.0904,-0.49%,781038
05/12/2010,18.2046,18.6241,18.1981,18.6016,0.4293,+2.36%,865304
05/11/2010,17.7204,18.4241,17.672,18.1723,0.2357,+1.31%,1386721
05/10/2010,17.5977,18.2982,17.5977,17.9366,0.6616,+3.83%,2210205
05/07/2010,17.8366,18.1465,16.9619,17.275,-0.7456,-4.14%,3078290
05/06/2010,18.6662,18.7468,15.1737,18.0206,-0.7811,-4.15%,2537051
05/05/2010,19.0276,19.0276,18.3433,18.8017,-0.4358,-2.27%,1307720
05/04/2010,19.5183,19.5247,19.1342,19.2375,-0.5616,-2.84%,1099523
05/03/2010,19.5247,19.8507,19.4699,19.7991,0.3195,+1.64%,614048
04/30/2010,19.5474,19.8798,19.4796,19.4796,-0.1613,-0.82%,857868
04/29/2010,19.1955,20.0089,19.1955,19.6409,0.5616,+2.94%,2586622
04/28/2010,19.0502,19.1632,18.9889,19.0793,0.0645,+0.34%,705131
04/27/2010,19.1761,19.4731,18.9857,19.0148,-0.2421,-1.26%,743858
04/26/2010,19.3794,19.5699,19.2569,19.2569,-0.1419,-0.73%,718143
04/23/2010,19.0986,19.4247,19.0826,19.3988,0.3259,+1.71%,478970
04/22/2010,18.9921,19.1213,18.7403,19.0729,-0.1484,-0.77%,1136389
04/21/2010,19.6055,19.6055,19.118,19.2213,-0.3292,-1.68%,853843
04/20/2010,19.486,19.5505,19.3213,19.5505,0.0581,+0.30%,342653
04/19/2010,19.6086,19.7571,19.3213,19.4924,-0.1679,-0.85%,619316
04/16/2010,19.8055,19.8346,19.4634,19.6603,-0.1679,-0.85%,1122447
04/15/2010,19.8701,19.9314,19.7539,19.8282,-0.0516,-0.26%,325612
04/14/2010,19.6926,19.8798,19.6539,19.8798,0.2227,+1.13%,626749
04/13/2010,19.6312,19.7571,19.5828,19.6571,-0.0032,-0.02%,889159
04/12/2010,19.7474,19.7474,19.5667,19.6603,-0.0387,-0.20%,812326
04/09/2010,19.7248,19.7442,19.5441,19.699,-0.0387,-0.20%,980865
04/08/2010,19.5409,19.7926,19.4085,19.7377,0.1291,+0.66%,223994
04/07/2010,19.7152,19.7668,19.4796,19.6086,-0.1001,-0.51%,818835
04/06/2010,19.6958,19.8088,19.6893,19.7087,-0.0097,-0.05%,346059
04/05/2010,19.5861,19.7604,19.5118,19.7184,0.2066,+1.06%,379829
04/01/2010,19.4634,19.6506,19.3859,19.5118,0.1614,+0.83%,1070401
03/31/2010,19.4505,19.6086,19.3213,19.3504,-0.1259,-0.65%,789401
03/30/2010,19.5925,19.5925,19.3859,19.4763,-0.1065,-0.54%,470914
03/29/2010,19.599,19.628,19.5312,19.5828,0.0935,+0.48%,595768
03/26/2010,19.6699,19.7765,19.3891,19.4893,-0.1549,-0.79%,689020
03/25/2010,19.9088,20.0347,19.628,19.6442,-0.1678,-0.85%,928505
03/24/2010,19.9798,20.0412,19.7958,19.812,-0.2162,-1.08%,871501
03/23/2010,19.7765,20.0476,19.7216,20.0282,0.2872,+1.45%,802414
03/22/2010,19.4569,19.8378,19.4085,19.741,0.1259,+0.64%,1067923
03/19/2010,19.7668,19.8185,19.6022,19.6151,-0.1001,-0.51%,1127718
03/18/2010,19.7345,19.7958,19.6312,19.7152,-0.0549,-0.28%,410500
03/17/2010,19.8604,19.8863,19.7313,19.7701,-0.0774,-0.39%,456662
03/16/2010,19.8701,19.8701,19.7377,19.8475,0.0646,+0.33%,539693
03/15/2010,19.7507,19.8249,19.557,19.7829,0.2743,+1.41%,1215396
03/12/2010,19.8282,19.8282,19.3181,19.5086,-0.1485,-0.76%,1467892
03/11/2010,19.4472,19.6603,19.2891,19.6571,0.1775,+0.91%,1200210
03/10/2010,19.2859,19.5699,19.2859,19.4796,0.226,+1.17%,1633017
03/09/2010,19.0986,19.3731,19.0761,19.2536,0.1517,+0.79%,930984
03/08/2010,19.0793,19.1407,19.0018,19.1019,0.0452,+0.24%,640072
03/05/2010,18.8114,19.0599,18.8081,19.0567,0.3389,+1.81%,1650679
03/04/2010,18.8598,18.8662,18.6403,18.7178,-0.1259,-0.67%,277901
03/03/2010,18.947,18.9889,18.7984,18.8437,-0.4325,-2.24%,907128
03/02/2010,19.1664,19.3504,19.0664,19.2762,0.1452,+0.76%,504065
03/01/2010,18.566,19.1374,18.5564,19.131,0.9555,+5.26%,1147852
02/26/2010,18.0787,18.2368,17.9625,18.1755,0.1291,+0.72%,281929
02/25/2010,17.9141,18.0561,17.814,18.0464,-0.0323,-0.18%,978389
02/24/2010,18.0884,18.2111,18.0174,18.0787,0.0743,+0.41%,335216
02/23/2010,18.3143,18.3821,17.9883,18.0044,-0.3292,-1.80%,765237
02/22/2010,18.5273,18.5435,18.2788,18.3336,-0.1292,-0.70%,261482
02/19/2010,18.3982,18.5435,18.2949,18.4628,0.0097,+0.05%,355355
02/18/2010,18.7081,18.721,18.4144,18.4531,-0.2388,-1.28%,838663
02/17/2010,18.4563,18.7081,18.3627,18.6919,0.3292,+1.79%,1004103
02/16/2010,18.4498,18.4822,18.1336,18.3627,0.0645,+0.35%,422893
02/12/2010,17.9528,18.2982,17.9109,18.2982,0.2518,+1.40%,1136701
02/11/2010,17.701,18.1174,17.4848,18.0464,0.2937,+1.65%,1338082
02/10/2010,17.6655,17.8463,17.4977,17.7527,-0.0484,-0.27%,483925
02/09/2010,17.7591,17.9883,17.6397,17.8011,0.2163,+1.23%,357212
02/08/2010,17.6946,17.7623,17.5106,17.5848,-0.1421,-0.80%,443342
02/05/2010,17.8011,18.0271,17.2491,17.7269,-0.0194,-0.11%,1279214
02/04/2010,18.3917,18.4628,17.6978,17.7463,-0.8553,-4.60%,1183480
02/03/2010,18.566,18.6145,18.3498,18.6016,0.0613,+0.33%,1778630
02/02/2010,18.1723,18.5403,18.0044,18.5403,0.51,+2.83%,1676703
02/01/2010,17.8818,18.0496,17.8366,18.0303,0.1872,+1.05%,488263
01/29/2010,17.8689,18.0561,17.8398,17.8431,0.0324,+0.18%,744788
01/28/2010,18.0335,18.0496,17.7269,17.8107,-0.2583,-1.43%,554255
01/27/2010,17.7947,18.0722,17.743,18.069,0.2453,+1.38%,912087
01/26/2010,17.7591,17.985,17.6785,17.8237,0.1227,+0.69%,860350
01/25/2010,17.8431,17.9076,17.5816,17.701,-0.0743,-0.42%,475562
01/22/2010,17.785,17.9787,17.6623,17.7753,-0.0323,-0.18%,1059249
01/21/2010,18.0949,18.1562,17.7172,17.8076,-0.2969,-1.64%,1058315
01/20/2010,18.1433,18.2368,17.8076,18.1045,-0.1001,-0.55%,663619
01/19/2010,17.8334,18.2046,17.8204,18.2046,0.4035,+2.27%,654632
01/15/2010,18.0916,18.1174,17.7236,17.8011,-0.3163,-1.75%,886371
01/14/2010,18.0787,18.1755,18.0238,18.1174,0.0129,+0.07%,1702730
01/13/2010,17.8947,18.1433,17.8172,18.1045,0.2614,+1.46%,491673
01/12/2010,17.9206,18.0012,17.7236,17.8431,-0.2291,-1.27%,774220
01/11/2010,18.0787,18.1239,17.9012,18.0722,0.0968,+0.54%,577490
01/08/2010,17.8818,17.9754,17.7495,17.9754,0.0807,+0.45%,608470
01/07/2010,17.9206,18.0044,17.7656,17.8947,0,0.00%,264889
01/06/2010,17.6558,17.9141,17.6558,17.8947,0.2356,+1.33%,566027
01/05/2010,17.5945,17.7559,17.5461,17.6591,0.0678,+0.39%,610020
01/04/2010,17.5267,17.5913,17.4267,17.5913,0.2776,+1.60%,281000
12/31/2009,17.4945,17.5139,17.3137,17.3137,-0.1872,-1.07%,304235
12/30/2009,17.4202,17.5139,17.3718,17.5009,0.0323,+0.18%,441172
12/29/2009,17.5623,17.5623,17.417,17.4686,-0.042,-0.24%,222135
12/28/2009,17.4267,17.5235,17.2718,17.5106,0.0872,+0.50%,177212
12/24/2009,17.346,17.4234,17.2879,17.4234,0.0774,+0.45%,71876
12/23/2009,17.2104,17.4041,17.2104,17.346,0.0807,+0.47%,299277
12/22/2009,16.9167,17.2847,16.9167,17.2653,0.3454,+2.04%,283787
12/21/2009,16.6972,16.9586,16.6972,16.9199,0.3356,+2.02%,559830
12/18/2009,16.3647,16.6843,16.2485,16.5843,0.2654,+1.63%,1000072
