Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/04/2021,57.39,57.39,57.39,57.39,-0.83,-1.43%,1286317,2284214
08/03/2021,58.22,58.22,57.54,58.22,0.06,+0.10%,1003295,2313202
08/02/2021,58.16,58.16,57.82,58.16,-1.47,-2.47%,850727,2316439
07/30/2021,59.63,59.63,59.63,59.63,-0.08,-0.13%,605951,2319540
07/29/2021,59.71,59.71,59.71,59.71,0.84,+1.43%,613648,2313808
07/28/2021,58.87,58.87,58.87,58.87,0.6,+1.03%,594758,2318495
07/27/2021,58.27,58.46,58.27,58.27,-0.02,-0.03%,675635,2326985
07/26/2021,58.29,58.29,58.25,58.29,-0.21,-0.36%,733659,2321619
07/23/2021,58.5,58.5,58.5,58.5,0.02,+0.03%,606486,2307468
07/22/2021,58.48,58.48,58.48,58.48,0.36,+0.62%,866773,2279821
07/21/2021,58.12,58.12,58.12,58.12,1.78,+3.16%,1004229,2243809
07/20/2021,56.34,56.37,55.71,56.34,0.22,+0.39%,1110523,2242376
07/19/2021,56.12,56.12,55.78,56.12,-3.3,-5.55%,1406718,2268027
07/16/2021,59.42,59.42,59.42,59.42,0.67,+1.14%,781790,2302475
07/15/2021,58.75,58.75,58.75,58.75,-0.3,-0.51%,1091288,2320055
07/14/2021,59.05,59.05,58.95,59.05,-0.87,-1.45%,1334368,2375821
07/13/2021,59.92,60,59.92,59.92,1.15,+1.96%,1116395,2413536
07/12/2021,58.77,58.77,58.77,58.77,0.16,+0.27%,887709,2394804
07/09/2021,58.61,58.61,58.61,58.61,1.01,+1.75%,886759,2382893
07/08/2021,57.6,57.6,57.6,57.6,0.27,+0.47%,1110379,2389918
07/07/2021,57.33,57.33,57,57.33,-0.74,-1.27%,1212207,2399887
07/06/2021,59.23,59.23,57.96,58.07,-1.61,-2.70%,1534003,2413946
07/02/2021,59.68,59.68,59.68,59.68,0.18,+0.30%,852400,2417932
07/01/2021,59.5,59.64,59.5,59.5,0.47,+0.80%,1415593,2412472
06/30/2021,59.03,59.05,59.03,59.03,0.07,+0.12%,759716,2390245
06/29/2021,58.96,59.16,58.94,58.96,0,0.00%,606916,2369631
06/28/2021,58.96,58.96,58.96,58.96,-0.55,-0.92%,662474,2360738
06/25/2021,59.51,59.51,59.35,59.51,0.06,+0.10%,795042,2369152
06/24/2021,59.45,59.45,59.13,59.45,0.21,+0.35%,673047,2372769
06/23/2021,59.24,59.58,59.24,59.24,0.22,+0.37%,889397,2362207
06/22/2021,59.02,59.02,59.02,59.02,0.27,+0.46%,1047707,2346975
06/21/2021,58.75,58.82,58.75,58.75,0.7,+1.21%,1360397,2379530
06/18/2021,58.05,58.12,57.57,58.05,0.41,+0.71%,960018,2416998
06/17/2021,57.64,57.64,57.15,57.64,-1.2,-2.04%,1136583,2444877
06/16/2021,58.84,58.87,58.84,58.84,0.19,+0.32%,1108669,2485108
06/15/2021,58.65,58.65,58.65,58.65,0.36,+0.62%,907230,2474859
06/14/2021,58.29,58.29,58.29,58.29,0.04,+0.07%,783387,2443681
06/11/2021,58.25,58.25,58.25,58.25,0.05,+0.09%,1621208,2466180
06/10/2021,58.2,58.2,57.67,58.2,0.03,+0.05%,1099107,2487828
06/09/2021,58.17,58.19,58.17,58.17,0.08,+0.14%,913968,2492881
06/08/2021,58.09,58.09,58.09,58.09,0.5,+0.87%,908543,2511533
06/07/2021,57.59,57.62,57.59,57.59,0.23,+0.40%,769124,2522272
06/04/2021,57.2,57.5,57.2,57.36,0.4,+0.70%,748482,2538946
06/03/2021,57.1,57.1,56.89,56.96,-0.01,-0.02%,667467,2525956
06/02/2021,56.97,56.97,56.97,56.97,0.45,+0.80%,711247,2510617
06/01/2021,56.52,57,56.52,56.52,0.69,+1.24%,1105137,2507073
05/28/2021,55.83,55.83,55.83,55.83,-0.48,-0.85%,969770,2484150
05/27/2021,56.31,56.31,56.21,56.31,0.08,+0.14%,685847,2475001
05/26/2021,56.23,56.23,56.23,56.23,0.19,+0.34%,738945,2464250
05/25/2021,56.04,56.04,56.04,56.04,-0.01,-0.02%,1160401,2426045
05/24/2021,56.05,56.05,56.05,56.05,1.25,+2.28%,938119,2423190
05/21/2021,54.8,54.8,54.8,54.8,0.68,+1.26%,1060954,2419431
05/20/2021,54.12,54.12,54.1,54.12,-0.57,-1.04%,945649,2417060
05/19/2021,54.9,54.9,54.29,54.69,-1.29,-2.30%,1191632,2440005
05/18/2021,55.98,56.48,55.64,55.98,-0.2,-0.36%,1019832,2458804
05/17/2021,56.18,56.18,55.77,56.18,0.28,+0.50%,779438,2450725
05/14/2021,55.9,55.9,55.9,55.9,0.59,+1.07%,971513,2482433
05/13/2021,55.4,55.4,55.31,55.31,-1.93,-3.37%,1189089,2452866
05/12/2021,57.24,57.29,57.24,57.24,0.66,+1.17%,1167073,2461608
05/11/2021,56.58,56.58,56.08,56.58,0.41,+0.73%,1061255,2444466
05/10/2021,56.17,56.19,56.17,56.17,0.16,+0.29%,977518,2458908
05/07/2021,55.68,56.01,55.68,56.01,0.33,+0.59%,942693,2454292
05/06/2021,55.87,55.93,55.68,55.68,0.02,+0.04%,808034,2458288
05/05/2021,55.66,55.81,55.66,55.66,0.11,+0.20%,1071385,2448728
05/04/2021,55.55,55.55,55.55,55.55,0.78,+1.42%,837858,2419641
05/03/2021,54.77,54.77,54.14,54.77,0.5,+0.92%,536747,2394890
04/30/2021,54.27,54.27,54.27,54.27,-0.92,-1.67%,846169,2381401
04/29/2021,55.19,55.34,55.19,55.19,0.5,+0.91%,799798,2375640
04/28/2021,54.69,54.69,54.37,54.69,0.19,+0.35%,794718,2364060
04/27/2021,54.5,54.5,54.5,54.5,0.57,+1.06%,727111,2353470
04/26/2021,53.93,53.93,53.32,53.93,0.07,+0.13%,671651,2345544
04/23/2021,53.86,53.86,53.86,53.86,0.49,+0.92%,669087,2338919
04/22/2021,53.37,53.37,53.37,53.37,0.56,+1.06%,661822,2330847
04/21/2021,52.5,52.81,52.5,52.81,-0.43,-0.81%,857062,2341710
04/20/2021,53.2,53.24,53.2,53.24,-0.54,-1.00%,945966,2346374
